Top,Jungle,Middle,Bottom,Support
Hecarim: 53.70%,Fiddlesticks: 52.95%,Annie: 54.63%,Sona: 62.55%,Sona: 55.72%
Maokai: 53.53%,Vi: 52.67%,Camille: 53.19%,Caitlyn: 52.67%,Lux: 54.76%
Olaf: 52.76%,Hecarim: 52.53%,Aurelion Sol: 52.71%,Swain: 52.21%,Maokai: 53.66%
Shen: 52.05%,Nunu e Willump: 52.45%,Galio: 52.65%,Ashe: 51.56%,Bardo: 52.88%
Rengar: 52.02%,Evelynn: 52.29%,Swain: 52.56%,Twitch: 51.52%,Taric: 52.80%
Quinn: 52.02%,Shyvana: 51.88%,Qiyana: 52.22%,Cassiopeia: 51.33%,Zilean: 52.01%
Yorick: 51.91%,Warwick: 51.83%,Nocturne: 52.19%,Senna: 51.26%,Lulu: 51.66%
Fiora: 51.77%,Zac: 51.70%,Sett: 52.00%,Miss Fortune: 50.97%,Rakan: 51.60%
Cho'Gath: 51.67%,Kayn: 51.65%,Cassiopeia: 51.93%,Draven: 50.68%,Soraka: 51.45%
Camille: 51.52%,Rammus: 51.65%,Ahri: 51.91%,Jinx: 49.86%,Janna: 51.42%
Zac: 51.51%,Skarner: 51.58%,Pyke: 51.86%,Vayne: 49.67%,Alistar: 51.41%
Wukong: 51.02%,Karthus: 51.56%,Talon: 51.75%,Jhin: 49.59%,Shaco: 51.38%
Poppy: 50.87%,Ivern: 51.46%,Garen: 51.46%,Kog'Maw: 49.52%,Morgana: 50.57%
Cassiopeia: 50.85%,Elise: 51.34%,Renekton: 51.42%,Ziggs: 49.26%,Zyra: 50.36%
Darius: 50.83%,Poppy: 51.28%,Malzahar: 51.35%,Yasuo: 49.08%,Leona: 50.11%
Heimerdinger: 50.81%,Rek'Sai: 51.27%,Anivia: 51.06%,Lucian: 49.01%,Galio: 50.07%
Sion: 50.57%,Rengar: 51.20%,Jayce: 50.92%,Sivir: 48.96%,Blitzcrank: 49.95%
Singed: 50.55%,Shaco: 51.09%,Zed: 50.86%,Ezreal: 48.76%,Poppy: 49.82%
Garen: 50.54%,Graves: 50.88%,Diana: 50.74%,Tristana: 48.04%,Swain: 49.75%
Urgot: 50.46%,Master Yi: 50.58%,Pantheon: 50.63%,Kalista: 47.84%,Braum: 49.62%
Jax: 50.41%,Olaf: 50.50%,Fizz: 50.62%,Xayah: 47.00%,Senna: 49.55%
Riven: 50.40%,Dr. Mundo: 50.31%,Malphite: 50.62%,Kai'Sa: 46.83%,Shen: 49.44%
Malphite: 50.32%,Ekko: 50.25%,Kassadin: 50.61%,Aphelios: 46.56%,Yuumi: 49.20%
Vladimir: 50.26%,Kha'Zix: 50.11%,Veigar: 50.59%,Varus: 43.44%,Vel'Koz: 49.12%
Kayle: 50.26%,Sejuani: 50.10%,Katarina: 50.33%,,Nami: 48.99%
Teemo: 50.25%,Xin Zhao: 50.02%,Lissandra: 50.26%,,Brand: 48.98%
Lucian: 50.24%,Amumu: 49.88%,Lucian: 50.23%,,Pantheon: 48.95%
Dr. Mundo: 49.97%,Nidalee: 49.65%,Neeko: 50.09%,,Neeko: 48.63%
Kled: 49.96%,Udyr: 49.59%,Nunu e Willump: 50.08%,,Zac: 48.37%
Renekton: 49.72%,Volibear: 49.52%,Yone: 49.93%,,Thresh: 48.29%
Vayne: 49.65%,Kindred: 49.52%,Ekko: 49.84%,,Xerath: 48.22%
Tryndamere: 49.65%,Taliyah: 49.06%,Orianna: 49.74%,,Pyke: 47.82%
Ornn: 49.63%,Trundle: 48.89%,Viktor: 49.66%,,Karma: 47.67%
Illaoi: 49.61%,Jax: 48.79%,Vladimir: 49.65%,,Nautilus: 47.46%
Akali: 49.38%,Nocturne: 48.46%,Yasuo: 49.55%,,Tahm Kench: 47.12%
Kennen: 49.36%,Jarvan IV: 48.40%,Twisted Fate: 49.54%,,Sett: 45.67%
Sett: 49.33%,Wukong: 48.37%,Kled: 49.37%,,Malphite: 42.74%
Nasus: 49.22%,Sett: 48.10%,Rumble: 49.18%,,
Rumble: 49.10%,Gragas: 47.57%,Ryze: 49.00%,,
Jayce: 48.86%,Lee Sin: 46.92%,Akali: 48.75%,,
Gangplank: 48.74%,Lillia: 46.72%,Aatrox: 48.57%,,
Gnar: 48.48%,Sylas: 46.22%,Zoe: 48.56%,,
Volibear: 48.34%,,Lillia: 48.20%,,
Sylas: 48.28%,,Vel'Koz: 47.83%,,
Yasuo: 48.25%,,Xerath: 47.73%,,
Irelia: 48.16%,,Azir: 47.70%,,
Mordekaiser: 47.92%,,Ziggs: 47.53%,,
Aatrox: 47.78%,,LeBlanc: 47.48%,,
Yone: 47.19%,,Sylas: 47.32%,,
Lillia: 47.05%,,Corki: 47.10%,,
Ryze: 47.02%,,Irelia: 46.80%,,
,,Syndra: 46.37%,,
,,Mordekaiser: 46.29%,,
